Term ID	Class	Description	Status
010-1886	010	Medical imaging apparatus for use in the field of {indicate, e.g., iridology, sclerology, etc.} incorporating recorded software for {indicate function or purpose of software}	A
010-1889	010	Medical diagnostic apparatus for testing {specify condition or subject matter tested, e.g., blood sugar levels, cancer cells, DNA, etc.} incorporating recorded operating system software	A
028-4345	028	Balancing bird toys	A
009-5776	009	Image intensifier tubes	A
009-5779	009	Sunglasses for pets	A
009-5781	009	Water temperature gauges	A
028-4351	028	Exercise pulleys	A
028-4352	028	Automobile engine models being toys	A
028-4353	028	Remote-controlled submarines being toys	A
009-5783	009	Magnetic clip-on sunglass lenses	A
029-1893	029	Pork jerky	A
010-1881	010	Medical devices for use in treating or diagnosing {specify disease or condition} with integrated recorded operating system software, sold as a unit	A
010-1222	010	Software for use in calculating, transferring and storing data relating to the diagnosis and treatment of eye disorders, sold as a component of an ophthalmic surgical apparatus	D
010-1078	010	Medical imaging apparatus incorporating medical imaging software	D
010-1884	010	Medical imaging apparatus for {indicate medical use, e.g., diagnosing medical conditions, use in surgical procedures, etc.} incorporating recorded software for {indicate function or purpose of software}	A
010-1885	010	Medical imaging apparatus for {indicate medical use, e.g., diagnosing medical conditions, use in surgical procedures, etc.} incorporating recorded operating system software	A
010-1887	010	Medical imaging apparatus for use in the field of {indicate, e.g., iridology, sclerology, etc.} incorporating recorded operating system software	A
009-3222	009	Medical workstation comprised of computer hardware and software for gathering and transmitting patient image data for use during surgical procedures	D
009-4372	009	Simulators for the steering and control of vehicles [computer hardware and software]	D
009-4378	009	Baseball and softball training apparatus using sensors and software to analyze bat swings and electronically display results	D
009-5309	009	Sports training apparatus featuring electronic sensors and software to analyze {indicate what the apparatus analyzes, e.g., muscle contractions, running speed, bat swings, etc.}, and electronically display results	D
009-3235	009	Turbine control systems comprising electronic sensors and related software	D
009-3555	009	Vehicle detection equipment, namely, display monitors, computers, image sensors, video cameras, and operating system and application software to detect vehicle location	D
009-3134	009	Free-space optics transmission systems, Ethernet switches and routers, and software sold both as components thereof and separately, namely, software adapted and arranged for operating, installing, testing, diagnosing and managing the forgoing telecommunication equipment	D
010-1789	010	Supports for flat feet	A
010-1790	010	Suspensory bandages	A
029-1801	029	Spanish mackerel, not live	A
031-946	031	Capelin, live	A
009-2265	009	Automated process control system, namely, micro-processor based hardware and software used to monitor the status of industrial machinery, namely turbines, generators and compressors	D
009-2264	009	Automated process control system, namely, micro-processor based hardware and software used to monitor the status of industrial processes, namely power generation, electrical distribution and oil and gas processing	D
009-3003	009	Broadband power line communication systems for transferring broadband data over electrical power lines, comprised of computer hardware, software and modems	D
009-2582	009	Building security systems comprising software and hardware for providing picture, video, alarm status, building plans, and other information to a remote station	D
009-3252	009	Computer hardware and software sold as a unit for testing of embedded computer systems	D
009-2508	009	Computer hardware and software system for tracking people, objects and pets using GPS data on a device on the tracked people, objects and pets	D
009-5581	009	Day and night vision systems primarily comprised of day and night sensors, day and night cameras, and monitors	X
009-3568	009	Electronic communications systems comprised of computer hardware and recorded software for the transmission of data between two points	M
009-808	009	Global positioning system (GPS) consisting of computers, computer software, transmitters, receivers, and network interface devices	D
009-5585	009	Office electrical power automation systems comprised of computer hardware, wireless and wired controllers, and downloadable software for automating {indicate what is being automated, e.g., appliances, lighting, HVAC, security, electrical power, etc.}	A
009-2471	009	Home and office automation systems comprising wireless and wired controllers, controlled devices, and software for lighting, HVAC, security, safety and other home and office monitoring and control applications	D
009-5586	009	Home and office automation systems comprised of computer hardware, wireless and wired controllers, and downloadable software for automating {indicate what is being automated, e.g., appliances, lighting, HVAC, security, electrical power, etc.}	A
009-5587	009	Home automation systems comprised of computer hardware, wireless and wired controllers, and downloadable software for automating {indicate what is being automated, e.g., appliances, lighting, HVAC, security, electrical power, etc.}	A
009-5588	009	Office automation systems comprised of computer hardware, wireless and wired controllers, and downloadable software for automating {indicate what is being automated, e.g., appliances, lighting, HVAC, security, electrical power, etc.}	A
009-5343	009	Home automation hubs comprised of voice-activated speakers, computer hardware, and software for {indicate function, e.g., controlling networked devices in the internet of things (IoT), operating internet-enabled and connected lighting apparatus and home security alarms, etc.}	D
009-5589	009	Home automation hubs comprised of voice-activated speakers, computer hardware, and recorded software for {indicate function, e.g., controlling networked devices in the internet of things (IoT), operating internet-enabled and connected lighting apparatus and home security alarms, etc.}	A
009-5590	009	Home automation hubs comprised of voice-activated speakers, computer hardware, and downloadable software for {indicate function, e.g., controlling networked devices in the internet of things (IoT), operating internet-enabled and connected lighting apparatus and home security alarms, etc.}	A
030-457	030	Crystal sugar [not confectionery]	D
030-733	030	Couscous [semolina]	D
029-1851	029	Prepared dish consisting primarily of meat and also including couscous	A
011-1426	011	Electric warmers to melt scented wax tarts	D
011-948	011	Electric candle warmers	D
011-355	011	Fragrance dispensing unit which also features a night light	D
011-1085	011	Non-electric air diffusers comprised of a wick in a container used to emit scent when lit sold without scented oil	D
011-1382	011	Water-powered aromatherapy diffusers comprising a shower bracket used to emit scent during a shower and sold without scented oil	D
011-1308	011	Air diffusers for {specify use, e.g., freezers, aquariums, etc.}	D
021-4211	021	Aquarium air stones	D
011-390	011	Electrical devices to be plugged into wall outlets having a heating element and which dispenses {indicate use, e.g., an insect repellent}	D
011-53	011	Electric vaporizers for household purposes	D
011-309	011	Electric and battery operated aromatherapy units	D
011-4129	011	Electric dispensers for air fresheners	D
021-4621	021	Candle warmers	A
021-4622	021	Electric candle warmers	A
021-4625	021	Fragrance lamps sold empty	A
021-4626	021	Non-electric aromatherapy diffusers for use in showers	A
007-4350	007	Air diffusers for aquariums	A
007-4349	007	Air stones for aquariums	A
007-4351	007	Air diffusers for hydroponics	A
007-4352	007	Air pumps for hydroponics	A
007-4353	007	Water pumps for hydroponics	A
011-4151	011	Air diffusers being parts of refrigerators	A
021-4627	021	Plug-in diffusers for insect repellents	A
021-4629	021	Plug-in diffusers for air fragrances	A
021-4632	021	Vaporizers being electric aromatic oil diffusers	A
021-4633	021	Electric aromatherapy oil diffusers	A
021-4634	021	Non-electric aromatic oil diffusers, other than reed diffusers	A
011-4153	011	Plug-in diffusers for air deodorizers	A
021-4635	021	Electric essential oil diffusers	A
021-4636	021	Ultrasonic essential oil diffusers	A
021-4638	021	Electric aromatherapy diffusers	A
021-4640	021	Tea light essential oil diffusers	A
021-4641	021	Tealight essential oil diffusers	A
030-770	030	Soya bean paste [condiment]	D
030-1830	030	Soybean paste	A
029-1046	029	Cooked dish consisting primarily of soybean paste and tofu (doenjang-jjigae)	D
030-1431	030	Pelmeni [dumplings stuffed with meat]	D
030-1832	030	Pelmeni	A
030-1539	030	Ramen (Japanese noodle-based dish)	D
030-1543	030	Okonomiyaki (Japanese savory pancakes)	D
030-1542	030	Okonomiyaki (Japanese savoury pancakes)	D
030-1838	030	Savory pancake mixes	A
030-1545	030	Batter mixes for okonomiyaki (Japanese savory pancakes)	D
030-1221	030	Korean-style dried seaweed rolls containing cooked rice (gimbap)	D
